'Name'	'Set'	'Number'	'Rarity'	'Type'	'Keywords'	'Color'	'Cost'	'Req'	'Power'	'Boosted'	'Points'	'Problem Req'	'Color'	'Problem Req'	'Color'	'Opponent Req'	'Text'
'Igneous Rock, Pebble Pusher'	'Premiere'	29	'C'	'Friend'	'[Earth Pony] Earth Pony'	'Orange'	1	2	1								'When you play this card, it gets +1 power until the end of the turn. '
'Drill Bit, Destruction Worker'	'Premiere'	30	'C'	'Friend'	'[Pegasus] Pegasus'	'Orange'	4	2	3								'When you play this card, your opponent discards a random card. '
'Full Steam, Smoke Stacked'	'Premiere'	31	'R'	'Friend'	'[Earth Pony] Earth Pony'	'Orange'	4	0	4								
'Silver Spanner, Nuts for Bolts'	'Premiere'	32	'R'	'Friend'	'[Unicorn] Unicorn'	'Orange'	3	1	2								'Reaction: When one of your Resources is dismissed, you may dismiss this card. If you  do, play that Resource from your discard pile for free.  This card has received errata '
'Red Gala, Favorite Cousin'	'Premiere'	33	'C'	'Friend'	'[Earth Pony] Earth Pony'	'Orange'	2	0	2								
'Sunny Smiles, Iconic Friend'	'Premiere'	34	'R'	'Friend'	'[Earth Pony] Earth Pony'	'Orange'	3	2	3								'When an opponent discards a card, this card gets +1 power until the end of the turn. '
'Night Watch, Vigilant Patrol'	'Premiere'	35	'R'	'Friend'	'[Earth Pony] Earth Pony'	'Orange'	2	2	1								'During faceoffs involving this card, flip an additional card. '
'Apple Brown Betty, Pastry Chef'	'Premiere'	36	'C'	'Friend'	'[Earth Pony] Earth Pony'	'Pink'	3	0	3								
'Berry Dreams, Pom-Pom Pony'	'Premiere'	37	'C'	'Friend'	'[Earth Pony] Earth Pony'	'Pink'	2	0	1								'When you play this card, draw a card. '
'Big Top, Silly Pony'	'Premiere'	38	'F'	'Friend'	'[Earth Pony] Earth Pony'	'Pink'	4	2	3								'When you win a Problem faceoff involving this card, dismiss an opponent''s Friend  involved in that faceoff. '
'Charged Up, Energizer Pony'	'Premiere'	39	'R'	'Friend'	'[Earth Pony] Earth Pony'	'Pink'	3	0	2								'When you move this card to a Problem, you may look at the top 2 cards of that Problem''s  deck and put them back in any order. '
'Dance Fever, Disco King'	'Premiere'	40	'C'	'Friend'	'[Earth Pony] Earth Pony'	'Pink'	1	2	1								'Random (During a faceoff involving this card, if you flip a card with 1 power, you may  ignore it and flip a new card.) '
'Lucky Streak, One in a Million'	'Premiere'	41	'R'	'Friend'	'[Earth Pony] Earth Pony'	'Pink'	1	1	1								'When you play this card, you may uncover a face-down Troublemaker. <P> Main Phase:  Exhaust this card to look at a face-down Troublemaker. '
'Flitter, Ribbon Wielder'	'Premiere'	42	'C'	'Friend'	'[Pegasus] Pegasus'	'Pink'	1	0	1								'While involved in a Troublemaker faceoff, this card gets +1 power. '
'Goldengrape, Popular Punster'	'Premiere'	43	'R'	'Friend'	'[Earth Pony] Earth Pony'	'Pink'	2	0	1								'When you win a Problem faceoff involving this card, you may search your deck for a  Friend, reveal it, put it into your hand, and shuffle your deck  This card has received errata '
'High Spirits, Life Enthusiast'	'Premiere'	44	'C'	'Friend'	'[Pegasus] Pegasus'	'Pink'	1	0	1								
'Pinkie Pie, Pinkie "Responsibility" Pie'	'Premiere'	45	'R'	'Friend'	'[Earth Pony] Earth Pony'	'Pink'	4	2	2								'When you play this card to a Problem, dismiss an opponent''s Friend at that Problem. '
'Pinkie Pie, Ice Cutter'	'Premiere'	46	'C'	'Friend'	'[Earth Pony] Earth Pony'	'Pink'	4	1	3								'Random (During a faceoff involving this card, if you flip a card with 1 power, you may  ignore it and flip a new card.) <P> When your opponent confronts this card''s Problem,  draw a card. '
'Pinprick, Pop Star'	'Premiere'	47	'R'	'Friend'	'[Unicorn] Unicorn'	'Pink'	2	4	1								'Random (During a faceoff involving this card, if you flip a card with 1 power, you may  ignore it and flip a new card.) <P> When you win a Problem faceoff involving this card,  dismiss an opponent''s Friend involved in that faceoff. '
'Ol'' Salt, Salt Blocked'	'Premiere'	48	'U'	'Friend'	'[Earth Pony] Earth Pony, Elder'	'Pink'	2	0	1								'Your opponent needs +[1 wild] to confront this card''s Problem. '
'Snips & Snails, Dynamic Duo'	'Premiere'	49	'R'	'Friend'	'[Unicorn] Unicorn, Foal'	'Pink'	4	3	3								'Your opponent needs +[1 wild] to confront this card''s Problem. '
'Surprise, Party Pegasus'	'Premiere'	50	'R'	'Friend'	'[Pegasus] Pegasus'	'Pink'	3	3	1								'When you play this card to a Problem with a face-up Troublemaker, turn that  Troublemaker face-down. '
'Apple Stars, Fruit Prodigy'	'Premiere'	51	'R'	'Friend'	'[Unicorn] Unicorn'	'Purple'	4	2	3								'Studious (When you win a faceoff involving at least one of your characters with this  keyword, gain [1 action].) '
'Professor Neigh, Algebraic!'	'Premiere'	52	'C'	'Friend'	'[Earth Pony] Earth Pony'	'Purple'	1	1	1								'While at a Problem with a Report Resource, this card gets +1 power. '
'Bright Bulb, Seasoned Strategist'	'Premiere'	53	'R'	'Friend'	'[Unicorn] Unicorn'	'Purple'	3	0	2								'Reaction: When an opponent''s character is played to this card''s Problem, you may  exhaust this card. If you do, move that character. '
'Comet Tail, Hale Bopper'	'Premiere'	54	'C'	'Friend'	'[Unicorn] Unicorn'	'Purple'	1	0	1								
'Mint Jewelup, A Cut Above'	'Premiere'	55	'C'	'Friend'	'[Unicorn] Unicorn'	'Purple'	2	2	1								'Studious (When you win a faceoff involving at least one of your characters with this  keyword, gain [1 action].) '
'Gyro, Poindexter'	'Premiere'	56	'R'	'Friend'	'[Earth Pony] Earth Pony'	'Purple'	1	3	1								'When you play this card, you may search your deck for an Event, reveal it, put it into  your hand, and shuffle your deck.  This card has received errata '
'Lemony Gem, Sour Grapes'	'Premiere'	57	'R'	'Friend'	'[Unicorn] Unicorn'	'Purple'	2	1	1								'When you move this card to a Problem, you may move an opponent''s character at that  Problem to another Problem. '
'Mayor Mare, Elected Official'	'Premiere'	58	'C'	'Friend'	'[Earth Pony] Earth Pony'	'Purple'	2	2	1								'Main Phase: Pay [3 actions] to move an opponent''s character. '
'Rare Find, A Real Gem'	'Premiere'	59	'R'	'Friend'	'[Unicorn] Unicorn'	'Purple'	1	2	1								'This card gets +1 power for each of your opponent''s characters at its Problem. '
'Blue Moon, Ol'' Blue Eyes'	'Premiere'	60	'C'	'Friend'	'[Unicorn] Unicorn'	'Purple'	2	0	2								
'Spring Forward, Companionable Filly'	'Premiere'	61	'R'	'Friend'	'[Earth Pony] Earth Pony'	'Purple'	3	3	2								'Studious (When you win a faceoff involving at least one of your characters with this  keyword, gain [1 action].) <P> This card gets +2 power for each of your opponent''s  characters at its Problem. '
'Sunny Rays, One Bright Mare'	'Premiere'	62	'R'	'Friend'	'[Pegasus] Pegasus'	'Purple'	2	2	2								'When you play this card, you may look at the top 2 cards of your deck and put them back  in any order.  This card has received errata '
'Lady Justice, Judge & Jury'	'Premiere'	63	'F'	'Friend'	'[Earth Pony] Earth Pony'	'Purple'	4	0	3								'Your opponent''s characters at this card''s Problem each get -1 power during faceoffs. '
'Twilight Sparkle, All-Team Organizer'	'Premiere'	64	'C'	'Friend'	'[Unicorn] Unicorn'	'Purple'	3	2	2								'Main Phase: Exhaust this card to gain [1 action] until the end of the phase. '
'Action Shot, Shutterbug'	'Premiere'	65	'R'	'Friend'	'[Earth Pony] Earth Pony'	'White'	4	0	3								'When you play this card to a Problem, choose another one of your characters at that  Problem. It gets +4 power until the end of the turn. '
'Big Shot, Wildlife Photographer'	'Premiere'	66	'R'	'Friend'	'[Pegasus] Pegasus'	'White'	2	1	2								'When a Troublemaker at this card''s Problem is uncovered, you may exhaust this card to  score a point.  This card has received errata '
'Featherweight, Editor-in-Chief'	'Premiere'	67	'R'	'Friend'	'[Pegasus] Pegasus, Foal'	'White'	3	0	2								'During Problem faceoffs involving this card, your opponent flips an additional card. <P>  During Problem faceoffs involving this card, your opponent ignores one of their flipped  cards with the highest power.  This card has received errata '
'Fiddly Faddle, Country Twang'	'Premiere'	68	'R'	'Friend'	'[Earth Pony] Earth Pony'	'White'	2	2	2								'When you play this card, you may look at the top 2 cards of your opponent''s deck and put  them back in any order  This card has received errata '
'Eff Stop, Muckraker'	'Premiere'	69	'R'	'Friend'	'[Pegasus] Pegasus'	'White'	2	2	1								'Main Phase: Exhaust this card and pay [1 action] to search your discard pile for an Event  and put it into your hand. '
'Vidala Swoon, Mane Manager'	'Premiere'	70	'F'	'Friend'	'[Earth Pony] Earth Pony'	'White'	4	3	3								'Main Phase: Exhaust this card and pay [1 action] to search your discard pile for a Friend  and put it into your hand. '
'Hoity Toity, Vogue Authority'	'Premiere'	71	'C'	'Friend'	'[Earth Pony] Earth Pony'	'White'	3	2	2								'Inspired (At the start of your Main Phase, look at the top card of an opponent''s deck and  put it on either the top or the bottom of that deck.) '
'Savoir Fare, Snooty Server'	'Premiere'	72	'R'	'Friend'	'[Earth Pony] Earth Pony'	'White'	2	2	2								'Inspired (At the start of your Main Phase, look at the top card of an opponent''s deck and  put it on either the top or the bottom of that deck.) <P> When you play this card to a  Problem, choose another one of your characters at that Problem. It gets +2 power until  the end of the turn. '
'Pearly Stitch, Crotchety Crocheter'	'Premiere'	73	'C'	'Friend'	'[Earth Pony] Earth Pony, Elder'	'White'	1	1	1								'Your opponents can''t move this card.  This card has received errata '
'Lotus Blossom, Sauna Expert'	'Premiere'	74	'R'	'Friend'	'[Earth Pony] Earth Pony'	'White'	4	3	2								'When you confront this card''s Problem, you may search your discard pile for a card and  put it on the top of your deck. '
'Rising Star, In the Spotlight'	'Premiere'	75	'C'	'Friend'	'[Unicorn] Unicorn'	'White'	1	1	1								'Main Phase: Exhaust this card to uncover a Troublemaker at its Problem.  This card has received errata '
'Noteworthy, Humdinger'	'Premiere'	76	'C'	'Friend'	'[Earth Pony] Earth Pony'	'White'	1	0	1								
'Rarity, Nest Weaver'	'Premiere'	77	'U'	'Friend'	'[Unicorn] Unicorn'	'White'	3	3	2								'Inspired (At the start of your Main Phase, look at the top card of an opponent''s deck and  put it on either the top or the bottom of that deck.) <P> When you play this card, you may  search your discard pile for a card and put it into your hand. '
'Royal Riff, Songster'	'Premiere'	78	'C'	'Friend'	'[Earth Pony] Earth Pony'	'White'	1	3	1								'Inspired (At the start of your Main Phase, look at the top card of an opponent''s deck and  put it on either the top or the bottom of that deck.) '
'Sugar Twist, Twister Sister'	'Premiere'	79	'C'	'Friend'	'[Pegasus] Pegasus'	'White'	2	0	2								
'Amethyst Star, Animal Leader'	'Premiere'	80	'C'	'Friend'	'[Unicorn] Unicorn'	'Yellow'	2	2	2								'Caretaker (+1 power while at a Problem with at least one of your [Critter] Friends) '
'Blue Jay, Warbler'	'Premiere'	81	'C'	'Friend'	'[Critter] Critter'	'Yellow'	2	0	2								
'Falcon, Fast & Furious'	'Premiere'	82	'R'	'Friend'	'[Critter] Critter'	'Yellow'	1	1	1								'When you move this card to a Problem, you may move one of your [Critter] Friends to  that Problem for free. '
'Fluttershy, Guidance Counselor'	'Premiere'	83	'R'	'Friend'	'[Pegasus] Pegasus'	'Yellow'	3	3	3								'Reaction: When an opponent receives at least [1 action], you may exhaust this card. If  you do, that opponent loses [1 action]. '
'Fluttershy, Animal Team'	'Premiere'	84	'U'	'Friend'	'[Pegasus] Pegasus'	'Yellow'	3	2	2								'Caretaker (+1 power while at a Problem with at least one of your [Critter] Friends.) <P>  When you play this card, the cost of your next [yellow] Friend this turn is reduced by [1  action]. '
'Forest Owl, Novice Assistant'	'Premiere'	85	'C'	'Friend'	'[Critter] Critter'	'Yellow'	1	0	0								'Each of your other characters at a Problem with this card gets +1 power. '
'House Mouse, Little Pipsqueak'	'Premiere'	86	'C'	'Friend'	'[Critter] Critter'	'Yellow'	1	0	1								
'Hummingway, Fine Feathered Friend'	'Premiere'	87	'F'	'Friend'	'[Critter] Critter'	'Yellow'	1	4	1								'During Troublemaker faceoffs involving this card and at least 2 of your other [Critter]  Friends, flip an additional card. '
'Lilac Links, Superstitious'	'Premiere'	88	'R'	'Friend'	'[Earth Pony] Earth Pony'	'Yellow'	2	1	1								'Problem Faceoff: Exhaust this card and choose a Friend involved in the faceoff with a  Resource attached to it to give that Friend -5 power until the end of the faceoff.  This card has received errata '
'Mane Cureall, Veteran Vet'	'Premiere'	89	'R'	'Friend'	'[Earth Pony] Earth Pony'	'Yellow'	2	3	1								'Caretaker (+1 power while at a Problem with at least one of your [Critter] Friends) <P>  When you play this card to a Problem, you may move one of your [critter] Friends to the  same Problem for free. '
'Mr. Beaverton Beaverteeth, Dam Builder'	'Premiere'	90	'R'	'Friend'	'[Critter] Critter'	'Yellow'	3	3	3								'Main Phase: Exhaust this card to dismiss a Resource in your opponent''s home. '
'Mr. Breezy, Fan Fan'	'Premiere'	91	'R'	'Friend'	'[Earth Pony] Earth Pony'	'Yellow'	3	3	3								'When you play this card, an opponent loses [1 action]. '
'Opalescence, Curtain Shredder'	'Premiere'	92	'C'	'Friend'	'[Critter] Critter'	'Yellow'	2	0	1								'When you move this card to a Problem, you may dismiss a Resource on an opponent''s  character at that Problem. '
'Sea Swirl, Porpoiseful'	'Premiere'	93	'R'	'Friend'	'[Unicorn] Unicorn'	'Yellow'	3	1	2								'Main Phase: Exhaust this card at a Problem to move up to 3 of your [Critter] Friends to  that Problem. '
'Winona, On the Scent'	'Premiere'	94	'C'	'Friend'	'[Critter] Critter'	'Yellow'	1	0	1								'Main Phase: Exhaust this card to look at a face-down Troublemaker at its Problem. '
'Spread Your Wings'	'Premiere'	95	'C'	'Event'			1	0	4								'Main Phase: Choose a [blue] or [pink] character. That character gets +1 [blue] and +1  [pink] until the end of the phase. '
'Getting Hooves Dirty'	'Premiere'	96	'F'	'Event'			1	0	4								'Main Phase: Choose a [white] or [pink] character. That character gets +1 [white] and +1  [pink] until the end of the phase. '
'Dig Deep'	'Premiere'	97	'F'	'Event'			1	0	4								'Main Phase: Choose a [blue] or [white] character. That character gets +1 [blue] and +1  [white] until the end of the phase. '
'Apples and Oranges'	'Premiere'	98	'F'	'Event'			1	0	4								'Main Phase: Choose a [orange] or [purple] character. That character gets +1 [orange] and  +1 [purple] until the end of the phase. '
'Royal Guidance'	'Premiere'	99	'C'	'Event'			1	0	4								'Main Phase: Choose a [yellow] or [purple] character. That character gets +1 [yellow] and  +1 [purple] until the end of the phase. '
'Sweet and Kind'	'Premiere'	100	'F'	'Event'			1	0	4								'Main Phase: Choose a [orange] or [yellow] character. That character gets +1 [orange] and  +1 [yellow] until the end of the phase. '
'Good Hustle'	'Premiere'	101	'R'	'Event'			1	0	5								'Faceoff: Choose a [Pegasus] character. That character gets +2 power until the end of the  faceoff. '
'A Bully and a Beast'	'Premiere'	102	'U'	'Event'	'Gotcha'	'Orange'	0	2	5								'Reaction: After you flip a card during a Troublemaker faceoff while your opponent is  challenging a Troublemaker, ignore that card and flip another card.  This card has received errata '
'A Touch of Refinement'	'Premiere'	103	'U'	'Event'		'White'	1	2	5								'Main Phase: Choose a character. That character gets +2 [white] until the end of the turn. '
'A Vision of the Future'	'Premiere'	104	'U'	'Event'		'Pink'	1	2	5								'Faceoff Reaction: Play when a faceoff begins. Put this card on the top of your deck. '
'Assertiveness Training'	'Premiere'	105	'R'	'Event'			1	0	4								'Faceoff: If you have Rarity or Pinkie Pie involved in this faceoff, flip an additional card.  If you have Rarity and Pinkie Pie involved in this faceoff, flip 2 additional cards instead. '
'Back Where You Began'	'Premiere'	106	'R'	'Event'		'Purple'	1	2	5								'Main Phase: Move an opponent''s character. '
'Crème de la Crème'	'Premiere'	107	'U'	'Event'	'Gotcha'	'White'	0	3	5								'Problem Faceoff Reaction: Play when you win a Problem faceoff by at least 5 power.  Score an additional point. '
'Critter Cavalry'	'Premiere'	108	'U'	'Event'	'Gotcha'	'Yellow'	1	2	3								'Faceoff Reaction: Play after you flip a card. That card gets +5 power this faceoff. '
'Double-check the Checklist'	'Premiere'	109	'U'	'Event'		'Purple'	1	3	5								'Main Phase: Look at the top 3 cards of your deck and put them back in any order. '
'Downright Dangerous'	'Premiere'	110	'U'	'Event'		'Pink'	2	2	5								'Main Phase: Choose an opponent''s Friend to get -2 power until the end of the turn. If it  has 0 power or less, dismiss it. '
'Duck and Cover'	'Premiere'	111	'U'	'Event'		'Orange'	1	3	5								'Reaction: After you flip a card during a faceoff, ignore that card and flip a new card.  This card has received errata '
'Eeyup'	'Premiere'	112	'R'	'Event'		'Orange'	2	4	4								'Main Phase: Choose a character. That character gets +4 [Orange] until the end of the turn. '
'Here''s Your Invitation!'	'Premiere'	113	'U'	'Event'		'Pink'	1	3	5								'Main Phase: Dismiss an opponent''s Friend with 1 power or less. '
'Let''s Get This Party Started'	'Premiere'	114	'U'	'Event'		'Pink'	1	2	3								'Main Phase: Draw 3 cards. '
'Fears Must be Faced'	'Premiere'	115	'U'	'Event'		'Blue'	2	3	5								'Troublemaker Phase: Choose up to 2 of your characters at home. Move each of them to a  different Problem. '
'Nurture With Knowledge'	'Premiere'	116	'U'	'Event'		'Yellow'	1	2	5								'Main Phase: Choose a character. That character gets +2 [yellow] until the end of the turn. '
'Gotta Go Fast'	'Premiere'	117	'R'	'Event'		'Blue'	1	2	4								'Faceoff: Move one of your characters to a Problem. '
'Stand Still!'	'Premiere'	118	'R'	'Event'	'Gotcha'	'White'	0	2	5								'Reaction: Play after an opponent''s character has just been moved. Send that character to  its previous area.  This card has received errata '
'Straighten Up & Fly Right'	'Premiere'	119	'R'	'Event'			1	0	4								'Faceoff: If you have Twilight Sparkle or Fluttershy involved in this faceoff, flip an  additional card. If you have Twilight Sparkle and Fluttershy involved in this faceoff, flip  2 additional cards instead. '
'Swing Into Action'	'Premiere'	120	'U'	'Event'		'Blue'	1	2	5								'Main Phase: Choose a character. That character gets +2 [blue] until the end of the turn. '
'Team Effort'	'Premiere'	121	'R'	'Event'			1	0	4								'Faceoff: If you have Applejack or Twilight Sparkle involved in this faceoff, flip an  additional card. If you have Applejack and Twilight Sparkle involved in this faceoff, flip  2 additional cards instead. '
'The Big Guns'	'Premiere'	122	'R'	'Event'			1	0	4								'Faceoff: If you have Rainbow Dash or Pinkie Pie involved in this faceoff, flip an  additional card. If you have Rainbow Dash and Pinkie Pie involved in this faceoff, flip 2  additional cards instead. '
'The Horror! The Horror!'	'Premiere'	123	'U'	'Event'		'Yellow'	1	2	6								'Main Phase: Dismiss an opponent''s Resource. '
'Spike, Take a Letter'	'Premiere'	124	'U'	'Event'	'Gotcha'	'Purple'	0	2	5								'Troublemaker Faceoff Reaction: Play when you defeat a Troublemaker. Gain [2 actions]. '
'Undercover Adventure'	'Premiere'	125	'R'	'Event'			1	0	4								'Faceoff: If you have Rainbow Dash or Rarity involved in this faceoff, flip an additional  card. If you have Rainbow Dash and Rarity involved in this faceoff, flip 2 additional  cards instead. '
'Watch in Awe'	'Premiere'	126	'U'	'Event'		'Purple'	1	2	5								'Main Phase: Choose a character. That character gets +2 [purple] until the end of the turn. '
'What Went Wrong?'	'Premiere'	127	'U'	'Event'	'Gotcha'	'Blue'	1	1	5								'Reaction: After your opponent flips a card during a faceoff, your opponent ignores that  card and flips another card.  This card has received errata '
'Whoa There Nelly!'	'Premiere'	128	'R'	'Event'	'Gotcha'	'Orange'	0	3	5								'Reaction: Play when one of your Friends has been dismissed. Put it into your hand. '
'Working Together'	'Premiere'	129	'R'	'Event'			1	0	4								'Faceoff: If you have Applejack or Fluttershy involved in this faceoff, flip an additional  card. If you have Applejack and Fluttershy involved in this faceoff, flip 2 additional cards  instead. '
'Yay!'	'Premiere'	130	'U'	'Event'		'Yellow'	0	2	5								'Faceoff: Each of your characters at an opponent''s Problem gets +1 power until the end of  the faceoff. '
'Assault Cake'	'Premiere'	131	'R'	'Resource'	'Asset'	'Pink'	2	3	6								'Play to your home. <P> Faceoff Reaction: When a faceoff begins, you may put this card  on the top of your deck. '
'Carousel Boutique'	'Premiere'	132	'R'	'Resource'	'Location'	'White'	2	2	5								'Play to your home. <P> Main Phase: Dismiss this card to search your discard pile for a  card and put it into your hand. '
'Tangled Coiffure'	'Premiere'	133	'U'	'Resource'	'Condition'	'White'	2	4	3								'Play on an opponent''s Friend. <P> Your opponent can''t move this Friend. '
'Critter Cuisine'	'Premiere'	134	'U'	'Resource'	'Asset'	'Yellow'	2	2	3								'Play to your home.<P> Main Phase: Exhaust this card and pay [1 action] to give each of  your [Critter] Friends +1 [yellow] until the start of your next turn. '
'Fighting for Friendship'	'Premiere'	135	'C'	'Resource'	'Report'	'Purple'	2	2	3								'Play on a Problem. <P> Your characters at this Problem each get +1 power during  faceoffs. '
'Foal Free Press'	'Premiere'	136	'C'	'Resource'	'Asset'	'Blue'	1	2	3								'Play to your home. <P> When you uncover a Troublemaker, the next card you play that  turn has its cost reduced by [1 action]. '
'Focused Study'	'Premiere'	137	'U'	'Resource'	'Report'	'Purple'	2	3	3								'Play on a Problem. <P> Your opponent may not play Friends with 2 power or less to this  Problem. '
